,count,mean,std,min,25%,50%,75%,max
Wind maximum (m/s),4441.0,4.914014860769654,2.8041528521996004,0.150000006,2.533333302,4.599999905,6.833333492,15.1833334
NO (ug/m3),3085.0,7.816276356745881,23.40438815019561,-0.1006658,1.244047046,1.819019914,2.825884819,263.2819824
NO2 (ug/m3),3105.0,10.177525391148796,11.44092176410958,-0.221494928,2.360530138,5.258878708,13.78307915,72.99596405
Temperature 2m (DegC),4441.0,11.328556054196557,4.795495134651045,-2.008902788,8.11980629,11.08944416,14.53254128,28.50955582
CO (mg/m3),2968.0,0.254769442255728,0.42704978479539407,-0.008773349,0.06774598175,0.1026843825,0.20729746675,3.757688284
Wind speed (m/s),4441.0,2.5582550093915835,1.4152745097990103,0.150000006,1.370833278,2.416472435,3.548583269,7.222916603
Temperature (near ground - top of mast) (DegC),4441.0,-0.11013301753276333,0.998790180453221,-6.565569878,-0.478332847,0.008486112,0.377277523,3.116916418
Temperature 10m (DegC),4441.0,11.447696026113716,4.3341292713250406,-0.653902769,8.48698616,11.21977806,14.297472,49.080861092
SO2 (ug/m3),4253.0,0.40721571557700537,0.46487623392240124,0.011534216,0.164815038,0.265350014,0.461277425,11.96766853
PM10 (ug/m3),4432.0,16.758348365604046,13.388219652346304,-4.400000095,9.399999619,14.0,19.89999962,150.5
PMCoarse (ug/m3),4420.0,8.269615378303373,5.780369374073421,-7.800000191,4.40000045275,7.5,11.09999943,66.5
Relative humidity (%),4441.0,75.94255112691765,14.499167439986062,23.14638901,66.56568909,79.63722229,87.58694458,162.0680542
Wind direction (Deg),4019.0,146.16095927330892,93.71150178611856,0.066789411,67.90864563,91.19638062,231.25930025000002,359.8797913
O3 (ug/m3),0.0,,,,,,,
NOx (ppb),3105.0,10.783928573822875,21.224139521412663,0.09572196,2.405421972,3.898153305,8.840237617,219.8491211
PM2.5 (ug/m3),4426.0,8.510415723186636,10.7200190859073,-2.799999952,3.799999952,5.900000095,9.0,140.3000031
